Tank Type	Tank Facility ID	Tank Owner ID	Tank Number	Install Date	Tank Status	Foundation Type Concrete Coating/RPB	Foundation Type Concrete	Foundation Type Steel/Saddle/Runner/Beam	Foundation Type Earthen	Foundation Type Ring Wall	Foundation Type Unknown	Foundation Type Other	Foundation Type Other Specify	Roof Type N/A Horizontal Tank	Roof Type Floating	Roof Type Fixed Cone-Welded/Bolted	Roof Type Other	Roof Type Other Specify						
AST	1002917	32305	800003	1/1/1974	CURR IN USE	N	N	N	Y	N	N	N		N	N	N	Y							
AST	1002917	32305	800004port	1/1/1974	PERM OUT OF USE	N	N	N	Y	N	N	N		N	N	N	Y	None						
AST	1002917	47473	1	5/1/2017	CURR IN USE	N	Y	N	N	N	N	N		Y	N	N	N							
AST	1002917	47473	2	5/1/2017	CURR IN USE	N	Y	N	N	N	N	N		Y	N	N	N							
AST	1002917	47473	3	11/27/2017	CURR IN USE	N	Y	N	N	N	N	N		Y	N	N	N							
AST	1002917	47473	4	11/27/2017	CURR IN USE	N	Y	N	N	N	N	N		N	N	N	N							
AST	1002918	36107	1	6/1/2004	CURR IN USE	N	N	N	Y	N	N	N		N	N	N	Y	None-Horizontal Tank						
AST	1003098	27642	132	7/10/1989	CURR IN USE	N	N	Y	N	N	N	N		N	N	N	N							
AST	1003098	27642	190	11/8/1993	CURR IN USE	N	N	Y	N	N	N	N		N	N	N	N							
AST	1003098	37148	T112	10/1/1990	CURR IN USE	N	N	Y	N	N	N	N		N	N	N	N							
AST	1003098	37148	T16	1/20/1991	CURR IN USE	N	N	Y	N	N	N	N		N	N	N	N							
AST	1003201	44598	1	9/1/1987	DISMANTLED	N	Y	N	N	N	N	N		N	N	N	N	None - Horizontal Tank						
AST	1003201	44598	2	1/7/2000	CURR IN USE	N	N	N	N	N	N	Y	Asphalt	N	N	N	N							
AST	1003356	40633	1	1/1/1989	CURR IN USE	N	N	N	N	N	N	N		N	N	N	N							
AST	1003356	40633	2	1/1/1989	CLOSED IN PLACE	N	N	N	N	N	N	N		N	N	N	N							
AST	1003356	40633	3	1/1/1989	CLOSED IN PLACE	N	N	N	N	N	N	N		N	N	N	N							
AST	1003356	40633	4	1/1/1988	DISMANTLED	N	N	N	N	N	N	N		N	N	N	N							
AST	1003478	29364	5	1/23/2013	CURR IN USE	N	N	N	Y	N	N	N		N	N	N	Y	None						
AST	1003478	34574	APC041	4/1/1994	PERM OUT OF USE	N	N	Y	N	N	N	N		N	N	N	N	None						
AST	1003490	45744	1		CURR IN USE	N	Y	N	N	N	N	N		N	N	N	Y	none - horizontal tank						
AST	1003622	36841	4	1/1/1992	DISMANTLED	Y	N	Y	N	N	N	N		N	N	N	Y	Horizontal						
AST	1003968	43059	1	3/27/1991	CURR IN USE	N	Y	Y	N	N	N	N		N	N	N	Y	Horizontal						
AST	1003968	43059	2	3/27/1991	CURR IN USE	N	Y	Y	N	N	N	N		N	N	N	Y	Horizontal						
AST	1004019	40011	4	3/28/2010	CURR IN USE	N	N	N	N	N	N	N		N	N	N	N	Horizontal						
AST	1004019	46099	1A-port	1/1/1999	CURR IN USE	N	N	N	Y	N	N	N		N	N	N	N	None						
AST	1004019	46099	2A-port	1/1/1999	CURR IN USE	N	N	N	Y	N	N	N		N	N	N	N	None						
AST	1004019	46099	3	1/1/1999	CURR IN USE	N	N	N	Y	N	N	N		N	N	N	N							
AST	1004073	29364	1-port	8/10/1999	CURR IN USE	N	N	N	Y	N	N	N		N	N	N	Y	Horizontal Tank						
AST	1004079	33310	1	12/14/1998	CURR IN USE	N	N	N	N	N	N	N		N	N	N	N							
AST	1004093	34623	1	7/29/1998	CURR IN USE	N	Y	N	N	N	N	N		N	N	N	Y	None - Horizontal Tank						
AST	1004110	36221	2	7/19/1970	CURR IN USE	N	N	N	Y	N	N	N		N	N	N	N							
AST	1004110	36221	4	8/15/1981	CURR IN USE	N	N	N	Y	N	N	N		N	N	N	N							
AST	1004110	36221	P1-195416	8/19/1970	CLOSED IN PLACE	N	N	N	Y	N	N	N		N	N	N	N							
AST	1004110	36221	P3-195415	8/15/1981	CLOSED IN PLACE	N	N	N	Y	N	N	N		N	N	N	N							
AST	1004159	40167	525992	8/31/1991	CURR IN USE	Y	N	N	N	N	N	N		N	N	N	N	None						
AST	1004159	40167	525993	8/30/1991	CURR IN USE	Y	N	N	N	N	N	N		N	N	N	N	None						
AST	1004267	31942	1	1/1/2000	CURR IN USE	N	Y	Y	N	N	N	N		N	N	N	N							
AST	1004267	31942	2	1/1/2000	CURR IN USE	N	Y	Y	N	N	N	N		N	N	N	N							
AST	1004267	31942	3	1/1/2000	CURR IN USE	N	Y	Y	N	N	N	N		N	N	N	N							
AST	1004269	40988	1		CURR IN USE	N	Y	N	N	N	N	Y	Ring Wall	N	N	Y	N							
AST	1004269	40988	2		CURR IN USE	N	Y	N	N	N	N	Y	Ring Wall	N	N	Y	N							
AST	1004269	40988	3		CURR IN USE	N	Y	N	N	N	N	Y	Ring Wall	N	N	Y	N							
AST	1004269	40988	4		CURR IN USE	N	Y	N	N	N	N	Y	Ring Wall	N	N	Y	N							
AST	1004269	40988	5		CURR IN USE	N	Y	N	N	N	N	Y	Ring Wall	N	N	Y	N							
AST	1004269	40988	6	7/6/2005	CURR IN USE	N	Y	N	N	N	N	Y	Ring Wall	N	N	Y	N							
AST	1004269	40988	7	7/6/2005	CURR IN USE	N	Y	N	N	N	N	Y	Ring Wall	N	N	Y	N							
AST	1004269	40988	8	7/6/2005	CURR IN USE	N	Y	N	N	N	N	Y	Ring Wall	N	N	Y	N							
AST	1004269	40988	9		CLOSED IN PLACE	N	N	N	N	N	N	N		N	N	N	Y	None						
AST	1004281	38303	1	1/1/1964	PERM OUT OF USE	N	N	N	Y	N	N	N		N	N	Y	Y	Welded Steel						
AST	1004281	50274	2	1/1/1964	CURR IN USE	N	Y	N	N	N	N	N		N	N	Y	Y	Welded Steel						
